Name,NetWorth,Country,Source,Rank,Age,Industry
Brian Armstrong,6.5,United States,cryptocurrency,404,38.0,Finance & Investments
Chu Mang Yee & family,6.5,China,real estate,404,61.0,Real Estate
Denise Coates,6.5,United Kingdom,online gambling,404,53.0,Gambling & Casinos
Gopikishan Damani,6.5,India,"retail, investments",404,63.0,Fashion & Retail
James Goodnight,6.5,United States,software,404,78.0,Technology
Antti Herlin,6.5,Finland,"elevators, escalators",404,64.0,Manufacturing
Liu Yongxing,6.5,China,diversified,404,72.0,Service
Sri Prakash Lohia,6.5,Indonesia,petrochemicals,404,68.0,Manufacturing
John Overdeck,6.5,United States,hedge funds,404,51.0,Finance & Investments
Prajogo Pangestu,6.5,Indonesia,petrochemicals,404,76.0,Diversified
Horst Julius Pudwill,6.5,Germany,manufacturing,404,76.0,Manufacturing
David Siegel,6.5,United States,hedge funds,404,59.0,Finance & Investments
Ronda Stryker,6.5,United States,medical equipment,404,66.0,Healthcare
Georg Stumpf,6.5,Austria,"real estate, construction",404,48.0,Diversified
Pauline MacMillan Keinath,6.4,United States,Cargill,418,87.0,Food & Beverage
Wang Yusuo & family,6.4,China,natural gas distribution,418,57.0,Energy
Dennis Washington,6.4,United States,"construction, mining",418,86.0,Logistics
Rahul Bajaj,6.3,India,diversified,421,82.0,Diversified
Ashwin Dani & family,6.3,India,paints,421,78.0,Manufacturing
Andreas Halvorsen,6.3,Norway,hedge funds,421,59.0,Finance & Investments
Andrei Kozitsyn,6.3,Russia,metals,421,60.0,Metals & Mining
Axel Oberwelland,6.3,Germany,candy,421,54.0,Food & Beverage
Shi Yuzhu,6.3,China,"online games, investments",421,58.0,Diversified
Tsai Eng-meng,6.3,Taiwan,"food, beverages",421,64.0,Food & Beverage
Murat Ulker,6.3,Turkey,food,421,62.0,Food & Beverage
Wang Junlin,6.3,China,liquor,421,58.0,Food & Beverage
Wang Ning & family,6.3,China,toys,421,34.0,Media & Entertainment
You Xiaoping,6.3,China,"chemicals, spandex",421,63.0,Manufacturing
Arthur Blank,6.2,United States,Home Depot,432,78.0,Sports
James Chambers,6.2,United States,"media, automotive",432,63.0,Media & Entertainment
Jiang Bin,6.2,China,acoustic components,432,54.0,Technology
Jason Jiang,6.2,China,advertising,432,48.0,Media & Entertainment
Mitchell Rales,6.2,United States,"manufacturing, investments",432,64.0,Manufacturing
Katharine Rayner,6.2,United States,"media, automotive",432,76.0,Media & Entertainment
Margaretta Taylor,6.2,United States,"media, automotive",432,78.0,Media & Entertainment
Stef Wertheimer & family,6.2,Israel,metalworking tools,432,94.0,Manufacturing
Mike Adenuga,6.1,Nigeria,"telecom, oil",440,67.0,Diversified
Charles Dolan & family,6.1,United States,cable television,440,94.0,Media & Entertainment
Huang Li,6.1,China,imaging systems,440,57.0,Technology
Law Kar Po,6.1,Hong Kong,real estate,440,72.0,Real Estate
Li Wa,6.1,Hong Kong,real estate,440,55.0,Real Estate
Idan Ofer,6.1,Israel,"drilling, shipping",440,65.0,Diversified
Qian Dongqi & family,6.1,China,household appliances,440,63.0,Manufacturing
Odd Reitan & family,6.1,Norway,"retail, real estate",440,69.0,Fashion & Retail
Henry Samueli,6.1,United States,semiconductors,440,66.0,Technology
Les Wexner & family,6.1,United States,retail,440,83.0,Fashion & Retail
Dannine Avara,6.0,United States,pipelines,451,57.0,Energy
Juergen Blickle,6.0,Germany,auto parts,451,74.0,Manufacturing
Robert Brockman,6.0,United States,Software,451,79.0,Technology
Mong-Koo Chung,6.0,South Korea,Hyundai,451,83.0,Automotive
Dulce Pugliese de Godoy Bueno,6.0,Brazil,"hospitals, health care",451,73.0,Healthcare
Daniel Dines,6.0,Romania,software,451,49.0,Technology
Scott Duncan,6.0,United States,pipelines,451,38.0,Energy
Judy Faulkner,6.0,United States,health IT,451,77.0,Technology
Guenther Fielmann & family,6.0,Germany,optometry,451,81.0,Healthcare
Milane Frantz,6.0,United States,pipelines,451,51.0,Energy
Frits Goldschmeding,6.0,Netherlands,temp agency,451,87.0,Service
Andrei Guriev & family,6.0,Russia,fertilizers,451,61.0,Manufacturing
Jane Lauder,6.0,United States,Estée Lauder,451,48.0,Fashion & Retail
Martin Lorentzon,6.0,Sweden,Spotify,451,52.0,Technology
Isaac Perlmutter,6.0,United States,Marvel comics,451,78.0,Media & Entertainment
Jeff Skoll,6.0,United States,eBay,451,56.0,Technology
Robert F. Smith,6.0,United States,private equity,451,58.0,Finance & Investments
John A. Sobrato & family,6.0,United States,real estate,451,81.0,Real Estate
Ronald Wanek,6.0,United States,furniture,451,79.0,Manufacturing
Randa Duncan Williams,6.0,United States,pipelines,451,59.0,Energy
Hansjoerg Wyss,6.0,Switzerland,medical devices,451,86.0,Healthcare
Chen Fashu,5.9,China,investments,472,60.0,Finance & Investments
Chen Rui,5.9,China,online entertainment,472,43.0,Media & Entertainment
Christopher Hohn,5.9,United Kingdom,hedge funds,472,54.0,Finance & Investments
Lin Jianhua & family,5.9,China,solar panel components,472,58.0,Manufacturing
Maria Asuncion Aramburuzabala & family,5.8,Mexico,"beer, investments",476,57.0,Food & Beverage
Chan Laiwa & family,5.8,China,real estate,476,80.0,Real Estate
George Kaiser,5.8,United States,"oil & gas, banking",476,78.0,Energy
Ananda Krishnan,5.8,Malaysia,"telecoms, media, oil-services",476,83.0,Telecom
Douglas Leone,5.8,United States,venture capital,476,63.0,Finance & Investments
Li Chunan,5.8,China,renewable energy,476,52.0,Manufacturing
Li Ping,5.8,Hong Kong,batteries,476,53.0,Automotive
William Li,5.8,China,electric vehicles,476,46.0,Automotive
Meg Whitman,5.8,United States,eBay,476,64.0,Technology
Neil Bluhm,5.7,United States,real estate,486,83.0,Real Estate
Andrew Currie,5.7,United Kingdom,chemicals,486,65.0,Manufacturing
Tom Gores,5.7,United States,private equity,486,56.0,Finance & Investments
Michel Leclercq & family,5.7,France,sporting goods,486,81.0,Fashion & Retail
Michael Moritz,5.7,United States,venture capital,486,66.0,Technology
Nicolas Puech,5.7,France,Hermes,486,78.0,Fashion & Retail
John Reece,5.7,United Kingdom,chemicals,486,64.0,Manufacturing
Emanuele (Lino) Saputo & family,5.7,Canada,cheese,486,84.0,Food & Beverage
Fred Smith,5.7,United States,FedEx,486,76.0,Logistics
Teh Hong Piow,5.7,Malaysia,banking,486,91.0,Finance & Investments
Rene Benko,5.6,Austria,"real estate, retail",496,44.0,Real Estate
Jack Dangermond,5.6,United States,mapping software,496,75.0,Technology
Stanley Druckenmiller,5.6,United States,hedge funds,496,67.0,Finance & Investments
Tamara Gustavson,5.6,United States,self storage,496,59.0,Service
Jian Jun,5.6,China,biomedical products,496,57.0,Healthcare
Clive Calder,5.5,United Kingdom,record label,502,74.0,Media & Entertainment
Hasmukh Chudgar & family,5.5,India,pharmaceuticals,502,87.0,Healthcare
Dagmar Dolby & family,5.5,United States,Dolby Laboratories,502,79.0,Technology
Dong Wei,5.5,China,pharmaceuticals,502,50.0,Healthcare
Ken Fisher,5.5,United States,money management,502,70.0,Finance & Investments
Ivan Glasenberg,5.5,Switzerland,mining,502,64.0,Metals & Mining
He Xiaopeng,5.5,China,electric vehicles,502,43.0,Automotive
Sumet Jiaravanon,5.5,Thailand,diversified,502,86.0,Diversified
Karel Komarek,5.5,Czechia,"oil and gas, IT, lotteries",502,52.0,Gambling & Casinos
Ronald Lauder,5.5,United States,Estee Lauder,502,77.0,Fashion & Retail
Mu Rongjun,5.5,China,e-commerce,502,41.0,Technology
J. Christopher Reyes,5.5,United States,food distribution,502,67.0,Food & Beverage
Jude Reyes,5.5,United States,food distribution,502,65.0,Food & Beverage
Kjell Inge Rokke,5.5,Norway,"shipping, seafood",502,62.0,Logistics
"Edward Roski, Jr.",5.5,United States,real estate,502,82.0,Real Estate
Alexandra Schoerghuber,5.5,Germany,real estate,502,62.0,Real Estate
Shu Ping,5.5,Singapore,restaurants,502,51.0,Food & Beverage
Christoph Zeller,5.5,Liechtenstein,dental implants,502,63.0,Healthcare
An Kang,5.4,China,pharmaceuticals,520,72.0,Healthcare
Rainer Blickle,5.4,Germany,auto parts,520,73.0,Manufacturing
Jaran Chiaravanont,5.4,Thailand,diversified,520,91.0,Diversified
Alceu Elias Feldmann,5.4,Brazil,fertilizer,520,71.0,Energy
Montri Jiaravanont,5.4,Thailand,diversified,520,90.0,Diversified
"Henry Nicholas, III.",5.4,United States,semiconductors,520,61.0,Technology
Terrence Pegula,5.4,United States,natural gas,520,70.0,Energy
Carrie Perrodo & family,5.4,France,oil,520,70.0,Energy
Harry Stine,5.4,United States,agriculture,520,79.0,Food & Beverage
Pyotr Aven,5.3,Russia,"oil, banking, telecom",529,66.0,Finance & Investments
Cao Renxian,5.3,China,photovoltaic equipment,529,52.0,Energy
Barry Lam,5.3,Taiwan,electronics,529,71.0,Technology
Carlos Rodriguez-Pastor,5.3,Peru,finance,529,61.0,Finance & Investments
Shen Guojun,5.3,China,retail,529,58.0,Fashion & Retail
Luiza Helena Trajano,5.3,Brazil,retail chain,529,69.0,Fashion & Retail
Yao Zhenhua & family,5.3,China,conglomerate,529,51.0,Diversified
Yu Yong,5.3,China,mining,529,60.0,Finance & Investments
Sam Zell,5.3,United States,"real estate, private equity",529,79.0,Real Estate
John Brown,5.2,United States,medical equipment,539,86.0,Healthcare
Giuseppe De'Longhi & family,5.2,Italy,coffee makers,539,81.0,Fashion & Retail
Frank Lowy,5.2,Australia,shopping malls,539,90.0,Real Estate
Joe Mansueto,5.2,United States,investment research,539,64.0,Finance & Investments
Akio Nitori,5.2,Japan,home furnishings,539,77.0,Fashion & Retail
Gary Rollins,5.2,United States,pest control,539,76.0,Service
Ruan Hongliang & family,5.2,China,glass,539,60.0,Manufacturing
Teddy Sagi,5.2,Israel,gambling software,539,49.0,Gambling & Casinos
Neil Shen,5.2,China,venture capital,539,53.0,Finance & Investments
David Velez,5.2,Colombia,fintech,539,39.0,Finance & Investments
Wong Man Li,5.2,Hong Kong,furniture,539,56.0,Manufacturing
Robert Bass,5.1,United States,"oil, investments",550,73.0,Energy
Pierre Chen,5.1,Taiwan,electronics,550,64.0,Technology
Mahendra Choksi & family,5.1,India,paints,550,79.0,Manufacturing
Gustavo Denegri,5.1,Italy,biotech,550,84.0,Healthcare
Reed Hastings,5.1,United States,Netflix,550,60.0,Media & Entertainment
Michael Herz,5.1,Germany,coffee,550,77.0,Fashion & Retail
Wolfgang Herz,5.1,Germany,coffee,550,70.0,Fashion & Retail
Patrick Lee,5.1,Hong Kong,paper,550,79.0,Manufacturing
Theo Mueller,5.1,Germany,dairy,550,81.0,Food & Beverage
Wu Guanjiang & family,5.1,China,pharmaceuticals,550,52.0,Healthcare
Bernard Broermann,5.0,Germany,hospitals,561,77.0,Healthcare
Jason Chang,5.0,Singapore,electronics,561,76.0,Technology
Joshua Harris,5.0,United States,private equity,561,56.0,Finance & Investments
Vikram Lal & family,5.0,India,motorcycles,561,79.0,Automotive
Lin Xiucheng & family,5.0,China,electronics,561,65.0,Technology
Pankaj Patel,5.0,India,pharmaceuticals,561,68.0,Healthcare
"Enrique Razon, Jr.",5.0,Philippines,ports,561,61.0,Logistics
"Walter Scott, Jr. & family",5.0,United States,"utilities, telecom",561,89.0,Energy
Charles Simonyi,5.0,United States,Microsoft,561,72.0,Technology
Kate Wang,5.0,China,e-cigarettes,561,39.0,Manufacturing
Daniel Ziff,5.0,United States,investments,561,49.0,Finance & Investments
Dirk Ziff,5.0,United States,investments,561,57.0,Finance & Investments
Robert Ziff,5.0,United States,investments,561,54.0,Finance & Investments
Stephen Bisciotti,4.9,United States,"staffing, Baltimore Ravens",574,60.0,Sports
Chen Dongsheng,4.9,China,insurance,574,63.0,Finance & Investments
Charles B. Johnson,4.9,United States,money management,574,88.0,Finance & Investments
Marc Ladreit de Lacharriere,4.9,France,finance,574,80.0,Finance & Investments
Joe Lewis,4.9,United Kingdom,investments,574,84.0,Finance & Investments
Lin Li,4.9,China,investments,574,57.0,Finance & Investments
Karen Pritzker,4.9,United States,"hotels, investments",574,63.0,Finance & Investments
Abdulsamad Rabiu,4.9,Nigeria,"cement, sugar",574,60.0,Diversified
Mark Scheinberg,4.9,Canada,online gambling,574,47.0,Gambling & Casinos
Howard Schultz,4.9,United States,Starbucks,574,67.0,Food & Beverage
Yasumitsu Shigeta,4.9,Japan,mobile phone retailer,574,56.0,Telecom
Thomas Siebel,4.9,United States,business software,574,68.0,Technology
Peter Thiel,4.9,United States,Facebook,574,53.0,Finance & Investments
Chip Wilson,4.9,Canada,Lululemon,574,64.0,Fashion & Retail
Zhang Fan,4.9,China,touch screens,574,55.0,Technology
Pierre Bellon & family,4.8,France,food services,589,91.0,Service
Richard Branson,4.8,United Kingdom,Virgin,589,70.0,Diversified
Huang Yi,4.8,Hong Kong,car dealerships,589,59.0,Automotive
Bidzina Ivanishvili,4.8,Georgia,investments,589,65.0,Finance & Investments
"Edward Johnson, IV.",4.8,United States,money management,589,56.0,Finance & Investments
Elizabeth Johnson,4.8,United States,money management,589,57.0,Finance & Investments
Ted Lerner & family,4.8,United States,real estate,589,95.0,Real Estate
Lin Shu-hong,4.8,Taiwan,petrochemicals,589,92.0,Manufacturing
Yuri Milner,4.8,Israel,tech investments,589,59.0,Finance & Investments
Issad Rebrab & family,4.8,Algeria,food,589,77.0,Food & Beverage
Thomas Schmidheiny,4.8,Switzerland,cement,589,75.0,Construction & Engineering
Chairul Tanjung,4.8,Indonesia,diversified,589,58.0,Diversified
Alan Trefler,4.8,United States,software,589,65.0,Technology
Radovan Vitek,4.8,Czechia,real estate,589,49.0,Real Estate
Frank Wang,4.8,China,drones,589,40.0,Technology
Wang Xicheng & family,4.8,China,tires,589,72.0,Manufacturing
Wang Zhendong,4.8,China,education,589,44.0,Service
M.A. Yusuff Ali,4.8,India,retail,589,65.0,Fashion & Retail
Maria Fernanda Amorim & family,4.7,Portugal,"energy, investments",608,86.0,Diversified
Dona Bertarelli,4.7,Switzerland,biotech,608,53.0,Diversified
Hong Jie,4.7,China,paint,608,53.0,Manufacturing
Nathan Kirsh,4.7,Eswatini (Swaziland),"retail, real estate",608,89.0,Fashion & Retail
Ken Langone,4.7,United States,investments,608,85.0,Finance & Investments
Michael Pieper,4.7,Switzerland,kitchen appliances,608,75.0,Manufacturing
Richard Schulze,4.7,United States,Best Buy,608,80.0,Fashion & Retail
Eric Smidt,4.7,United States,hardware stores,608,61.0,Fashion & Retail
Tim Sweeney,4.7,United States,video games,608,50.0,Media & Entertainment
Tang Shing-bor,4.7,Hong Kong,real estate,608,87.0,Real Estate
Oleg Tinkov,4.7,Russia,banking,608,53.0,Finance & Investments
Mark Walter,4.7,United States,finance,608,60.0,Finance & Investments
Wong Luen Hei,4.7,China,building materials,608,59.0,Manufacturing
Zhou Bajin,4.7,China,auto parts,608,85.0,Manufacturing
Patrizio Bertelli,4.6,Italy,luxury goods,622,75.0,Fashion & Retail
Bert Beveridge,4.6,United States,vodka,622,59.0,Food & Beverage
Chen Lip Keong,4.6,Malaysia,"casinos, property, energy",622,73.0,Gambling & Casinos
Dong Fan,4.6,China,medical devices,622,51.0,Healthcare
Daniel Ek,4.6,Sweden,Spotify,622,38.0,Technology
Tilman Fertitta,4.6,United States,"Houston Rockets, entertainment",622,63.0,Food & Beverage
Luis Frias,4.6,Brazil,mobile payments,622,58.0,Technology
Peter Gassner,4.6,United States,software,622,56.0,Technology
Vladimir Kim,4.6,Kazakhstan,mining,622,60.0,Metals & Mining
Li Weiguo,4.6,China,construction materials,622,56.0,Manufacturing
Denis O'Brien,4.6,Ireland,telecom,622,62.0,Telecom
Miuccia Prada,4.6,Italy,luxury goods,622,71.0,Fashion & Retail
"Robert Rich, Jr.",4.6,United States,frozen foods,622,80.0,Food & Beverage
Abhay Vakil & family,4.6,India,paints,622,70.0,Manufacturing
Paul-Heinz Wesjohann & family,4.6,Germany,chicken processing,622,77.0,Food & Beverage
Ron Baron,4.5,United States,money management,638,77.0,Finance & Investments
Andre Esteves,4.5,Brazil,banking,638,52.0,Finance & Investments
Jonathan Gray,4.5,United States,investments,638,51.0,Finance & Investments
Hu Baifan,4.5,China,pharmaceuticals,638,58.0,Healthcare
Viatcheslav Kantor,4.5,Russia,"fertilizer, real estate",638,67.0,Manufacturing
Min Kao & family,4.5,United States,navigation equipment,638,72.0,Technology
Friedrich Knapp,4.5,Germany,fashion retail,638,69.0,Fashion & Retail
Richard Li,4.5,Hong Kong,telecom,638,54.0,Telecom
Rudolf Maag,4.5,Switzerland,medical devices,638,75.0,Healthcare
Miao Hangen,4.5,China,"textiles, petrochemicals",638,56.0,Diversified
Sami Mnaymneh,4.5,United States,private equity,638,59.0,Finance & Investments
Igor Olenicoff,4.5,United States,real estate,638,78.0,Real Estate
Sergei Popov,4.5,Russia,banking,638,49.0,Finance & Investments
Thomas Pritzker,4.5,United States,"hotels, investments",638,70.0,Finance & Investments
"Julian Robertson, Jr.",4.5,United States,hedge funds,638,88.0,Finance & Investments
Tony Tamer,4.5,United States,private equity,638,63.0,Finance & Investments
Zhu Baoguo & family,4.5,China,pharmaceuticals,638,58.0,Healthcare
Shari Arison,4.4,Israel,Carnival Cruises,655,63.0,Service
Orlando Bravo,4.4,United States,private equity,655,50.0,Finance & Investments
Garrett Camp,4.4,Canada,Uber,655,42.0,Technology
Nick Caporella,4.4,United States,beverages,655,85.0,Food & Beverage
Mark Cuban,4.4,United States,"online media, Dallas Mavericks",655,62.0,Media & Entertainment
Yakir Gabay,4.4,Cyprus,real estate,655,54.0,Real Estate
Erman Ilicak,4.4,Turkey,construction,655,53.0,Construction & Engineering
Gustav Magnar Witzoe,4.4,Norway,fish farming,655,27.0,Food & Beverage
Michael Minhong Yu,4.4,China,education,655,59.0,Service
Zhang Daocai,4.4,China,valves,655,71.0,Diversified
Stéphane Bancel,4.3,France,biotech,665,48.0,Healthcare
Ralph Dommermuth,4.3,Germany,internet service provider,665,57.0,Technology
Thomas Hagen,4.3,United States,insurance,665,85.0,Finance & Investments
Pansy Ho,4.3,Hong Kong,casinos,665,58.0,Gambling & Casinos
Rakesh Jhunjhunwala,4.3,India,investments,665,60.0,Finance & Investments
Lee Yin Yee,4.3,China,glass,665,69.0,Manufacturing
Eric Lefkofsky,4.3,United States,Groupon,665,51.0,Technology
Edwin Leong,4.3,Hong Kong,real estate,665,69.0,Real Estate
Pawan Munjal & family,4.3,India,motorcycles,665,67.0,Automotive
Antony Ressler,4.3,United States,finance,665,59.0,Finance & Investments
Paul Singer,4.3,United States,hedge funds,665,76.0,Finance & Investments
Kerry Stokes,4.3,Australia,"construction equipment, media",665,80.0,Diversified
Steven Udvar-Hazy,4.3,United States,aircraft leasing,665,75.0,Service
Takao Yasuda,4.3,Japan,retail,665,71.0,Fashion & Retail
Ye Chenghai & family,4.3,Hong Kong,pharmaceuticals,665,77.0,Healthcare
Alain Bouchard,4.2,Canada,retail,680,72.0,Fashion & Retail
Rick Caruso,4.2,United States,real estate,680,62.0,Real Estate
Scott Cook,4.2,United States,software,680,68.0,Technology
Barry Diller,4.2,United States,online media,680,79.0,Media & Entertainment
Traudl Engelhorn & family,4.2,Germany,"pharmaceuticals, medical equipment",680,94.0,Healthcare
Fang Wei,4.2,China,steel,680,47.0,Manufacturing
Fu Liquan & family,4.2,China,surveillance equipment,680,53.0,Technology
Luca Garavoglia,4.2,Italy,spirits,680,52.0,Food & Beverage
Tom Golisano,4.2,United States,payroll services,680,79.0,Service
Peter Hargreaves,4.2,United Kingdom,financial services,680,74.0,Finance & Investments
Bertil Hult,4.2,Sweden,education,680,80.0,Service
Ray Lee Hunt,4.2,United States,"oil, real estate",680,78.0,Energy
James Irving,4.2,Canada,diversified,680,93.0,Diversified
Martin Lau,4.2,Hong Kong,e-commerce,680,48.0,Technology
Li Li,4.2,China,healthcare,680,55.0,Healthcare
Liu Fangyi,4.2,China,medical equipment,680,51.0,Healthcare
Luo Liguo & family,4.2,China,chemicals,680,65.0,Manufacturing
Juan Roig,4.2,Spain,supermarkets,680,71.0,Fashion & Retail
Leonard Stern,4.2,United States,real estate,680,83.0,Real Estate
Thomas Straumann,4.2,Switzerland,dental implants,680,57.0,Healthcare
Wang Yanqing & family,4.2,China,electrical equipment,680,54.0,Manufacturing
Ken Xie,4.2,United States,cybersecurity,680,58.0,Technology
Xue Hua,4.2,China,agribusiness,680,51.0,Manufacturing
Steven Meng Yang & family,4.2,China,electronics,680,38.0,Technology
Margot Birmingham Perot,4.1,United States,"computer services, real estate",705,87.0,Technology
David Bonderman,4.1,United States,private equity,705,78.0,Finance & Investments
Matthew Calkins,4.1,United States,software,705,48.0,Technology
Cho Tak Wong,4.1,Hong Kong,auto parts,705,74.0,Manufacturing
Piero Ferrari,4.1,Italy,automobiles,705,75.0,Automotive
Dan Friedkin,4.1,United States,Toyota dealerships,705,56.0,Automotive
Laurence Graff & family,4.1,United Kingdom,diamond jewelry,705,82.0,Fashion & Retail
Martin Haefner,4.1,Switzerland,"software, investments",705,67.0,Technology
Hong Ra-hee,4.1,South Korea,Samsung,705,75.0,Technology
Ji Qi,4.1,China,"hotels, motels",705,54.0,Real Estate
"Rupert Johnson, Jr.",4.1,United States,money management,705,80.0,Finance & Investments
Daniel Kretinsky,4.1,Czechia,"energy, investments",705,45.0,Energy
William Lauder,4.1,United States,Estee Lauder,705,60.0,Fashion & Retail
Janice McNair,4.1,United States,"energy, sports",705,84.0,Sports
John Morris,4.1,United States,sporting goods retail,705,73.0,Fashion & Retail
Gabe Newell,4.1,United States,videogames,705,58.0,Gambling & Casinos
Katharina Otto-Bernstein,4.1,Germany,real estate,705,57.0,Real Estate
Julio Ponce Lerou,4.1,Chile,fertilizer,705,75.0,Metals & Mining
Jon Stryker,4.1,United States,medical equipment,705,62.0,Healthcare
Suh Kyung-bae,4.1,South Korea,cosmetics,705,58.0,Fashion & Retail
Xu Jingren,4.1,China,pharmaceuticals,705,76.0,Healthcare
Samuel Yin,4.1,Taiwan,retail,705,70.0,Diversified
Walter P.J. Droege,4.0,Germany,investing,727,68.0,Finance & Investments
Du Jiangtao & family,4.0,China,chemicals,727,51.0,Manufacturing
Masatoshi Ito,4.0,Japan,retail,727,96.0,Fashion & Retail
Igor Kesaev,4.0,Russia,"tobacco distribution, retail",727,54.0,Fashion & Retail
Koon Poh Keong,4.0,Malaysia,aluminum,727,59.0,Manufacturing
Paul Xiaoming Lee & family,4.0,United States,packaging,727,63.0,Manufacturing
Li Xiang,4.0,China,electric vehicles,727,39.0,Automotive
Melissa Ma,4.0,China,internet search,727,51.0,Technology
Kiran Mazumdar-Shaw,4.0,India,biopharmaceuticals,727,68.0,Healthcare
Gwendolyn Sontheim Meyer,4.0,United States,Cargill,727,59.0,Food & Beverage
Akira Mori & family,4.0,Japan,real estate,727,84.0,Real Estate
Georg Nemetschek & family,4.0,Germany,software,727,87.0,Technology
Masahiro Noda,4.0,Japan,software,727,82.0,Technology
Ajay Piramal,4.0,India,pharmaceuticals,727,65.0,Healthcare
Qiu Guanghe & family,4.0,China,fashion retail,727,69.0,Fashion & Retail
Trevor Rees-Jones,4.0,United States,oil & gas,727,69.0,Energy
Ira Rennert,4.0,United States,investments,727,86.0,Finance & Investments
Marc Rowan,4.0,United States,private equity,727,58.0,Finance & Investments
Ugur Sahin,4.0,Germany,biotechnology,727,55.0,Healthcare
Michal Solowow,4.0,Poland,investments,727,58.0,Finance & Investments
Wu Jianshu,4.0,Hong Kong,auto parts,727,57.0,Automotive
Ye Xiaoping,4.0,China,pharmaceuticals,727,58.0,Healthcare
Zhou Hongyi,4.0,China,security software,727,50.0,Technology
Che Jianxing,3.9,China,furniture retailing,752,54.0,Fashion & Retail
Beatriz Davila de Santo Domingo,3.9,Colombia,beer,752,82.0,Food & Beverage
Rafael Del Pino,3.9,Spain,construction,752,62.0,Construction & Engineering
Du Weimin,3.9,China,vaccines,752,57.0,Healthcare
Rakesh Gangwal,3.9,United States,airline,752,67.0,Service
Paul Gauselmann & family,3.9,Germany,gambling,752,86.0,Gambling & Casinos
Jeff Greene,3.9,United States,"real estate, investments",752,66.0,Real Estate
Johnelle Hunt,3.9,United States,trucking,752,89.0,Logistics
Jin Baofang,3.9,China,solar energy,752,68.0,Energy
Kuan Kam Hon & family,3.9,Malaysia,synthetic gloves,752,73.0,Manufacturing
"Stephen Mandel, Jr.",3.9,United States,hedge funds,752,65.0,Finance & Investments
Gilles Martin,3.9,France,laboratory services,752,57.0,Healthcare
Masahiro Miki,3.9,Japan,shoes,752,65.0,Fashion & Retail
Dan Olsson,3.9,Sweden,diversified,752,74.0,Diversified
Robert Rowling,3.9,United States,"hotels, investments",752,67.0,Service
Erik Selin,3.9,Sweden,real estate,752,53.0,Real Estate
Mark Shoen,3.9,United States,U-Haul,752,70.0,Automotive
Ben Silbermann,3.9,United States,Pinterest,752,38.0,Technology
Wang Linpeng,3.9,China,furniture retailing,752,52.0,Construction & Engineering
Wu Zhigang & family,3.9,China,bakery chain,752,86.0,Food & Beverage
Yi Zheng,3.9,China,software,752,50.0,Technology
Zhang Wenzhong,3.9,China,supermarkets,752,59.0,Fashion & Retail
Euisun Chung,3.8,South Korea,Hyundai,775,50.0,Logistics
Daniel D'Aniello,3.8,United States,private equity,775,74.0,Finance & Investments
Oleg Deripaska,3.8,Russia,"aluminum, utilities",775,53.0,Metals & Mining
Sergey Dmitriev,3.8,Russia,computer software,775,55.0,Technology
Feng Hailiang,3.8,China,"copper, education",775,60.0,Metals & Mining
John Gandel,3.8,Australia,shopping malls,775,86.0,Real Estate
Gao Dekang & family,3.8,China,apparel,775,69.0,Fashion & Retail
Jaime Gilinski Bacal,3.8,Colombia,banking,775,63.0,Finance & Investments
Sergei Gordeev,3.8,Russia,real estate,775,48.0,Real Estate
Jeff Green,3.8,United States,online advertising,775,44.0,Media & Entertainment
"Amos Hostetter, Jr.",3.8,United States,cable television,775,84.0,Media & Entertainment
Kuok Khoon Hong,3.8,Singapore,palm oil,775,71.0,Manufacturing
Aerin Lauder,3.8,United States,cosmetics,775,50.0,Fashion & Retail
Hans Georg Naeder,3.8,Germany,prosthetics,775,59.0,Manufacturing
Clive Palmer,3.8,Australia,mining,775,67.0,Metals & Mining
Karsanbhai Patel,3.8,India,consumer goods,775,77.0,Diversified
Qiu Jianping & family,3.8,China,hand tools,775,59.0,Manufacturing
Wolfgang Reimann,3.8,Germany,consumer goods,775,68.0,Fashion & Retail
Matthias Reimann-Andersen,3.8,Germany,consumer goods,775,56.0,Fashion & Retail
Stefan Reimann-Andersen,3.8,Germany,consumer goods,775,57.0,Fashion & Retail
Renate Reimann-Haas,3.8,Germany,consumer goods,775,69.0,Fashion & Retail
Dirk Rossmann & family,3.8,Germany,drugstores,775,74.0,Fashion & Retail
Shaul Shani,3.8,Israel,telecom,775,66.0,Telecom
Song Fei,3.8,China,machinery,775,54.0,Manufacturing
Donald Sterling,3.8,United States,real estate,775,86.0,Real Estate
Ivar Tollefsen,3.8,Norway,real estate,775,59.0,Real Estate
Don Vultaggio & family,3.8,United States,beverages,775,69.0,Food & Beverage
Nusli Wadia,3.8,India,consumer goods,775,77.0,Food & Beverage
Zhang Jin,3.8,China,commodities,775,49.0,Diversified
Zhu Gongshan,3.8,China,solar panel materials,775,63.0,Manufacturing
Peter Gilgan,3.7,Canada,homebuilding,807,70.0,Construction & Engineering
Marian Ilitch,3.7,United States,Little Caesars,807,88.0,Food & Beverage
Kong Jian Min,3.7,China,real estate,807,53.0,Real Estate
Li Liangbin,3.7,China,lithium,807,53.0,Manufacturing
Li Yongxin & family,3.7,China,education,807,45.0,Service
Mary Alice Dorrance Malone,3.7,United States,Campbell Soup,807,71.0,Food & Beverage
Michael Milken,3.7,United States,investments,807,74.0,Finance & Investments
Ronald Perelman,3.7,United States,leveraged buyouts,807,78.0,Finance & Investments
